[General]
Name|Derek
24.1|Je suppose que tu n'as pas regardé les infos. C'est Maurice. Il a été arrêté pour trafic de drogues. Tu arrives à y croire ? C'est presque irréel. Tu connais mon petit frère, il ne joue pas avec cette merde, enfin je crois. Je vais tuer l'enfoiré qui lui a vendu cette merde, et n'importe qui qui est impliqué dans cette horrible histoire.
25|C'est quoi ce délire ? Ca n'a aucun sens. Il est clean comme pas deux ! Je pense que je devrais en discuter avec lui...
26|Frank. C'est quoi ton problème ? C'est toi le dealeur qui a vendu cette merde à mon petit frère ?
27|Mais va te faire foutre, Frank ! Je suis trop énervé pour considérer que mon frère doit être responsable de ses actions. Je vais te péter la gueule, connard !
28|Désolé mon pote. Je sais que tu adorerais que je botte le cul de Frank. Moi aussi, mais il est vraiment très balèze. Peut-être qu'avec un peu d'aide...
29|Ah, bonne nouvelle ! Dis-lui que je suis prêt quand il l'est ! Frank va sacrément dérouiller !
30|Whoa, tout va bien ? Tu n'as pas l'air dans ton assiette. Tu devrais peut-être t'allonger un peu le temps de dessaouler, sinon je vais devoir appeler une ambulance.
31|T'es sérieux ? Je ne t'ai pas invité pour que tu fasses ce genre de connerie ! Arrête tout de suite ton char, Ben Hur !
32|Bordel de merde ! Je vais vous laisser tous les deux. Putain, il va falloir que tu m'expliques comment tu arrives à te faire cette coupe... Ca fait des années que j'essaye sans y arriver.
33|Oh que non. C'est quoi ton problème ? Je t'ai invité à cette soirée et toi, tu en profites pour voler des affaires à la proprio ? Je pensais que nous étions amis, mais là, tu ne me laisses pas le choix...
34|Désolé mon pote. Je n'en ai pas sur moi. Tu devrais peut-être demander à Frank ou à Patrick.
35|Je dirais plus bi que gay. Il a eu un faible pour Katherine depuis aussi longtemps que je me souvienne. Mais vu la façon dont il regarde ton cul... Pourquoi me demandes-tu ça ?
36|J'ai l'impression que Frank est complètement confus à propos de la situation actuelle. Sauf si, bien sûr, tu serais réellement intéressé par Frank...
37|C'est quoi ton problème ? Amy est l'une de mes meilleurs amies. Comment oses-tu lui manquer autant de respect ?  Je vais te péter la gueule !
38|Bien dans ce cas, il me semble que tu devrais être honnête vis-à-vis de tes sentiments.
39|Je comprends le problème. C'est vraiment une situation atypique. Bref, il faut que tu éclaircisses ce malentendu avec Frank. Il pense que tu es gay, alors il faut que tu trouves un moyen de le convaincre que tu ne l'es pas.
40|C'est quoi ce bordel ? Pourquoi ferais-je ça ? En plus, tu sais bien que je suis complexé par mes tétons. Je ne pense pas que quelqu'un ici veuille les voir.
41|Une pétition ? Pour que j'enlève ma chemise ? Ok, tu as toute mon attention. Montre-moi cette pétition, et peut-être que nous pourrons en parler.
42|Désolé mon pote, mais il manque encore des signatures. J'ai l'impression que certaines personnes se sentiraient mal à l'aise si j'enlevais ma chemise. Reviens me voir si tu obtiens plus de signatures.
43|Waouh. Il y a vraiment autant de gens que ça qui veulent me voir sans chemise ? Eh bien, si c'est ce que tout le monde veut, je n'ai pas d'autres choix !
44|Merci pour l'info, mon pote ! Je suis toujours disponible pour Amy. Je vais aller la voir.
45|Hum... Eh bien, je ne vois personne ici qui porte quelque chose à l'effigie du drapeau américain, mais les gens portent parfois des choses intéressantes sous leurs vêtements, si tu vois ce que je veux dire. Reste à voir si tu as de la chance et qu'un patriote se cache parmi nous.
46|Pourquoi à chaque fois que je te donne un conseil, tu me poses une question idiote comme si je n'étais pas celui qui vient de te donner cette idée ? Non, je n'ai pas de sous-vêtements à l'effigie du drapeau américain. Si c'était le cas, je te l'aurais déjà dit !
47|Comme ça arrive tous les jours, je suppose... Qu'est-ce que ça a à voir avec moi ?
48|Je ne suis pas sûr de comprendre la question. Ces photos n'ont pas été faites pour toi ? Ou est-ce que tu prépares quelque chose de plus ignoble ?
49|Eh bien, dans ce cas... Patrick pourrait être intéressé pour son site cochon... Katherine manie le web comme une arme... sinon, Vickie recherche toujours de nouveaux talents. Elle se nourrit de photos de nus, comme un vampire. On la surnomme le Comte Chatula.
50|Merde ! Je ne sais même pas si elle a été invitée ! Demande à Rachael, elles sont toujours fourrées ensemble en général.
51|Attends... Est-ce que tu as piraté le téléphone de Madison pour lui voler ses photos ? Je t'ai déjà dit de ne pas m'inclure dans tes plans à la con !
52|Quoi ? Tu t'es sacrément cogné la tête.... Il n'y a rien entre Madison et moi. Nous sommes juste ami. C'est ça, juste ami.
53|Bon, ok, je suis grillé. Mais comment sais-tu ça ? Tu lis dans les esprits maintenant ? Peu importe. Garde ce secret pour toi. A cause de ça, c'est un peu tendu entre nous depuis... Et pas qu'un peu.
54|Je le sais bien, j'essaye juste de trouver le courage de le faire. Je pensais que boire un coup pourrait faire l'affaire, mais bien sûr, Frank est venu mettre son grain de sel. C'est vraiment la merde. Je voudrais tellement que tout redevienne comme avant. Madison m'évite depuis que mon regard a accidentellement croisé le sien un peu plus tôt.
55|Tu ferais ça ? Toi, tu es un véritable ami.
55.1|Merde, tu as parfaitement raison. Bon, je vais aller mettre les choses au clair avec de Madison. Mais, entre toi et moi, j'espère que ça finira au même endroit que la dernière fois, si tu vois ce que je veux dire... Mais bon, on verra bien... Merci pour ce discours d'encouragement.
55.2|Tu ferais ça ? Toi, tu es un véritable ami. Bon, je vais aller mettre les choses au clair avec de Madison. Mais, entre toi et moi, j'espère que ça finira au même endroit que la dernière fois, si tu vois ce que je veux dire... Mais bon, on verra bien... Merci pour ce discours d'encouragement.
56|Est-ce que tu viens juste de piailler comme un oiseau ?
57|Merde alors ! Tu sais me motiver toi ! ALLEZ LES POUSSINS ! PIOU-PIOU ! C'est parti, j'y vais. Par contre, reste près de moi quand je l'approcherais. Ca compterait beaucoup pour moi.
57.1|Je vais le faire. Mais... Je pourrais avoir besoin d'un support moral. Reste près de moi quand je l'approcherais. Ca compterait beaucoup pour moi.
58|Qu'est-ce que tu fabriques encore ? Parce que si tu fais ça pour me motiver, eh bien, ça fonctionne ! Je vais m'assurer que tu n'as pas fait tout ça pour rien. Je vais aller mettre les choses au clair avec de Madison !
59|Madison, j'en peu plus. Il faut qu'on parle. Viens à l'étage avec moi.
60|Ne t’excuse pas. Nous sommes amis, et je ne dis pas que je veux quelque chose de plus. Je sais que toi non plus tu n'es pas intéressée. Mais ce n'est pas une raison pour s'ignorer pour le reste de la soirée, ou pire, pour le reste de nos vies ! Je veux que tout redevienne comme avant entre nous, sans pour autant oublier ce qu'il s'est passé...
61|Ton plan cul. Si tu le veux bien.
62|Je te le promets. Et que dirais-tu de tester notre nouvel arrangement ? Ici et maintenant.
63|Merde, qu'est-ce que tu... vous foutez tous là-dedans ?!
63.1|Merde, qu'est-ce que tu... vous foutez tous là-dedans ?! Et pourquoi ta bite est de sortie ?!
64|Que tout le monde sorte d'ici. Retournez-en bas et allez profiter de cette soirée ailleurs.
65|J'ai beaucoup de trucs en tête qui me taraude. Des problèmes familiaux surtout mais aussi une histoire de fille. Je veux dire, un problème de fille et d'ami en même temps. Que d'emmerdes. Je n'ai pas envie d'en parler plus que ça. Mais merci quand même pour ton soutien moral.
65.1|Je t'ai déjà tout dit. J'ai beaucoup de trucs en tête qui me taraude. Des problèmes familiaux surtout mais aussi une histoire de fille. Je veux dire, un problème de fille et d'ami en même temps. Restons-en là.
66|Madison...
66.1|Arrête de parler et écoute-moi.
67|Laisse-moi juste 30 secondes... Pamela Anderson dans Alerte à Malibu en maillot de bain... La nana de mon assurance auto entrain de rouler un patin à ma prof de math... OPRAH WINFREYYYY. Ahhh...
68|Madison, tu peux sortir. Tout le monde est parti. Putain, ce n'était pas sympa de ta part. Je commence à me demander pourquoi je t'ai invité à cette soirée.
68.1|Madison, tu peux sortir. Tout le monde est parti.
69|Nan... Allez, Madison. Tu peux sortir, poulette.
70|Je ne veux pas en parler, je ne veux pas me battre pour ça, je ne veux pas m'attarder plus sur ce sujet. Tu as fait ce que tu as fait... et étrangement, Madison et moi sommes de nouveaux amis... et même un peu plus. Donc restons-en là.
71|Hé, je dois mettre un terme à ça tout de suite. Vous êtes sur le point de faire une scène, si vous ne l'avez pas encore remarqué.
72|Je dois l'avouer, tu te débrouilles comme un CHEF avec Ashley ce soir. Tu dis tout ce qu'il faut quand il faut, tu transformes cette soirée en véritable fiesta... J'ai bien fait de t'inviter. Tu devrais essayer de, euh... rendre cette soirée mémorable... pour Ashley. Tu comprends ?
72.1|Je dois l'avouer, tu te débrouilles comme un CHEF avec Ashley ce soir. Tu dis tout ce qu'il faut quand il faut, tu transformes cette soirée en véritable fiesta... J'ai bien fait de t'inviter, même si Madison veut te tuer pour avoir renversé ta bière sur elle. Tu devrais essayer de, euh... rendre cette soirée mémorable... pour Ashley. Tu comprends ?
73|Eh bien, d'un soldat à l'autre sur le champ de bataille, je te souhaite bonne chance. Au moins l'un d'entre nous pourra utiliser son missile ce soir. Le mien n'arrive pas à percer les défenses féminines récemment...
73.1|Eh bien, d'un soldat à l'autre sur le champ de bataille, je te souhaite bonne chance !
74|Je ne peux pas te parler, si tu ne peux pas le voir.

[Responses]
c529660c-1e5d-4dd6-82b5-f784f137e4d1|Tu parles à toi-même maintenant ? Tu commences à m'inquiéter sérieusement.
887b652b-aeac-4b20-b932-8eac37838a55|Je compte écrire ses mémoires et j'ai besoin des infos qu'il contient.
ed35f8ab-e6a8-4933-a802-c76203e421dc|Euh. Des nibards ?
79dd10a9-5303-4bcd-9684-2666cdb5cff2|Ouais, tu as raison. J'y suis allé un peu trop fort...
97ea63cb-c772-46e4-92ab-41861242297e|Désolé, Derek.
222b5e91-26aa-4e5a-a8fb-f3f2c25daf8c|Oups.
cf31225c-1382-417f-8b83-e751bfdcd6b8|Allez, Derek, sois sympa ! C'est important. C'est pour... la science.
1e5ae99f-2b3e-4644-9ac0-be2f46a445e1|Merci Derek !
a7c59077-5b87-4a22-a1e9-f0c5ce784fcf|Il dit que tu n'es qu'un connard qui adore l'odeur de ses propres pets !
6a813128-1dd3-4e3a-9408-cc2eed47c1c0|"Pas encore" étant le mot adéquat...
9abdf597-bbc8-4b87-98c7-3ad8078c6f04|Ca marche.
b1b2011c-70c2-4003-a29e-6cb6dccdb06f|Je te connais depuis trop longtemps pour laisser passer ça.
85996060-b611-4b57-b3e6-57faad02b597|Si tu essayes d'arranger les choses avec Madison, je te promets de trouver le responsable de la situation de ton frère.
956c7a02-5ec9-4ea9-bd3e-de0a377519c4|Quelle merde. Toutes mes condoléances.
4f56e341-bb00-4884-a125-8a3b10f60380|Maurice ? Sérieusement ?
b76d7bb2-575f-4cf0-be47-4cba9b26f041|Je vais juste te laisser y aller.
8a3b789d-3683-418f-bd00-d0b51e635cfe|(Continuer)
a3b12584-569e-4349-9fde-d0f9cd930ef6|J'adore quand un plan se déroule sans accroc !
fb5805d9-6b4c-4111-9922-881ba786dee6|Hum, je vais voir ce que je peux faire...
10521b61-71e4-4601-a4df-8a146dd051c4|Ca marche !
36270179-c817-4b4f-bd3b-e9fe9c6e0226|Et merde...
c9fa0c66-e7c9-4c21-a89e-b0a5dfdd0753|Je lui ai demandé un préservatif et il a cru que j'étais venu pour lui...
6b402528-a74b-4528-96f5-aa2aabbce9ad|Et puis quoi encore ? J'essaye juste de conclure avec Amy.
6adf0bc1-d0d4-4aa0-9b9a-8cac5b5cbc06|Pour être honnête, pourquoi pas. Que dois-je faire maintenant ?
5d93c94c-dd4c-4cc4-942f-227b002746b5|Moi et Frank ? Sois sérieux, Derek... Qu'as-tu bien pu fumer pour avoir de telles idées ?
a32beeed-3cf2-42e9-a6f8-ea6f5b0ee277|Ah merde...
1a05d27f-45b7-4927-9bae-f1a3756c0705|Je n'y avais même pas pensé jusqu'à ce que nous en parlions. Merci, Derek !
683edb4b-b254-45bc-9f3f-a923ba7cde3a|Merci pour les conseils, Derek.
693f9011-2a96-4476-8d2e-8b063e41a6ef|Bien au contraire ! J'ai même vu une pétition circulée à ce sujet !
3c66e6a6-d4df-46aa-8046-37b6c9a4c961|Ah, tu as sûrement raison. Je vais laisser tomber.
24b01fdd-428c-4610-b3df-377c4c136191|Ne bouge pas, je reviens.
c00808a8-6d12-4f4a-a62f-992c38ba358f|Comme tu veux, Derek. Mais pas la peine de piquer une crise comme un gamin pour ça.
21bc42a9-3947-4c55-b177-5975d76a8cdb|Enfin !
14f09f55-88c1-48df-b206-759c3523f846|Pas de problème.
62025ea3-9a3b-4813-9241-ad28bde93829|Qui pourrait en faire bon usage ?
4b9f3a7a-e3aa-4659-a8f9-525964f67c73|Je pensais que tu voudrais le savoir : je suis sur le point de faire de Madison une personne célèbre.
202afbf9-71d4-42f1-8ab5-44f3c303cabf|Quelque chose d'ignoble, tu peux me croire.
d1bbc3ac-7090-4410-bf61-16a571aef9c9|Je vais voir ça directement avec eux. Merci, Derek.
788fcdd6-d0f8-4bc5-b229-cbd32dda8eab|Où est Vickie ?
d69aab4c-dc1e-4853-ac85-5699cd87a74c|Je pensais que tu voudrais le savoir.
2030ad9e-a0e0-47b6-b981-f6de5ae2df09|Derek, soit franc avec moi. Je sais qu'il y a plus entre vous.
cc7966c2-7ea5-490a-a234-928fdc03acba|Ok, si tu le dis.
4e011daa-619a-45aa-9444-9704d7052c83|On en reparlera plus tard.
cf865193-7884-4774-88ca-429c90e2eff8|La solution est évidente : brise la glace et va lui parler !
9b1714ac-6262-4533-9067-e1625d3926df|Si tu essayes d'arranger les choses avec Madison, je te promets de trouver le responsable de la situation de ton frère.
7158509b-3ec6-4f69-9de6-5f3c6b4b2b7e|Derek, tu t'es battu contre Frank ce soir ! Tu peux y arriver !
ea2b5a38-835a-47d2-b070-cba042dad423|Dis-moi ce qui t'en empêche. Est-ce que ça a un rapport avec ton frère ?
8d08a273-3152-4565-a15a-83395e56413e|Tu dois me dire ce qui te met dans cet état-là. Habituellement, tu aurais déjà réglé ça depuis longtemps.
ae79ee61-15ea-4dc5-8199-59fc11a625b1|Oh, juste une seconde... Piou-piou
ee55d2a6-fd1a-4331-922c-ff4eb5d6848f|Oh, juste une seconde... *Vous enlevez votre chemise*
7790793a-ba76-410f-bf65-38f663e2486f|Ben ouais ! Comme la mascotte de notre école !
8ae0d6fe-eaf7-45fc-8b42-a08d7c959017|Tout ce que tu veux, mon pote.
fb3e7b51-1bea-4c51-9bc8-eeb8ca339ca0|Vas-y, fonce !
ed301ad4-c8b7-404f-9360-5794daea46c3|*Ecouter*
6250cd94-cee5-4575-bde4-a14b77b61345|*Ecouter*
6274b5cb-9fe8-4acd-ad48-879aaf2cb9ed|*Ecouter*
f59ea1a6-a9a5-4b32-86ee-92b2fc85d9c4|*Ecouter*
1d772ba9-9108-466e-9ef4-18e97f84fef1|Désolé, Derek. Mais tu n'es qu'un dommage collatéral de l'histoire.
ed05aacb-f1b9-4d22-9709-33f1e025e078|Je suis là si tu as besoin de moi, Derek.
e9ba0c74-fc37-4b6f-aba3-1b805262d358|*Ecouter*
930c447f-312d-4ad1-bf96-a7350e215b9e|*Ecouter*
a258a37b-88ed-4637-8920-80950c550213|*Ecouter*
52ef7676-1b62-4d52-856b-eaede32915b7|Soit honnête, c'était quand même marrant.
f3addae0-edb8-4651-9a2c-8c0b660ae18c|Menteur, je peux te voir sourire.
ebb5b466-b0fc-4919-acc0-061d1d705392|*Ecouter*
d8e6344e-3dcb-436e-b54e-0323783bd1a2|Je pense que tu as raison.
8aca1abd-b2d0-4eaa-8386-53a04269149b|C'est ce qui te tourmente autant ?
863f924e-306b-44d8-90e3-5cca06e0be67|Je te tiens au jus.
1d8376ee-dd1f-4c39-8e9d-cf0c35e5c769|Je ne trouve pas de crème fouettée pour Stephanie.
ebdcc664-6a87-442e-9b6c-6740659ab858|Frank ne me fait pas confiance.
571784a0-1cb7-4890-971b-766361c359ea|Je veux voir le contenu du téléphone de Madison, mais je n'arrive pas à trouver son code pin.
223028a9-f208-4d9f-823e-3670c4182084|Je recherche le journal intime de Madison. Tu n'aurais pas une idée où elle peut l'avoir caché ?
35e9374d-3e02-4a54-a7a3-4cda19a0ff08|J'ai besoin d'amener Katherine dans un endroit un peu plus intime.
79f4dcec-9b11-4c24-8b95-514264c3704f|Il me faut absolument une bouteille d'eau !
5d17cdf1-2445-45f5-9ff0-ae88df3e14bd|Katherine veut que je lui ramène à boire.
ffd68c65-6650-409a-b813-a569faf0ec1c|Je dois revenir dans les bonnes grâces d'Ashley. Une idée ?
7f021507-4338-455b-a683-dce37c9146f9|Ashley m'a presque pardonné, tu n'aurais pas une petite piste que je puisse utiliser pour qu'elle me pardonne définitivement ?
ed607f87-c21c-40fc-bf0c-b1e4add7bdb1|Mon pote, j'aurais besoin d'un joint. Tu n'en aurais pas ramené, par hasard ?
72fba02c-1e4a-4723-aee3-96e7ed37eaad|J'ai trouvé une fleur rouge. Je compte l'offrir à Ashley !
c3f896af-62cf-4d1b-8ab5-8b090eae099c|Tu tombes bien ! Par hasard, tu ne saurais pas comment je pourrais gagner facilement 50 balles ?
7d99c085-3f83-445b-9f92-9b384b44228c|J'ai besoin d'un conseil pour augmenter mon endurance afin que je ne jouisse pas trop vite.
16327fb1-6206-4ba0-ae58-c9559ac49f4e|J'en ai ras la casquette. Tu ne pourrais pas casser la gueule de Frank pour moi ?
9b60604e-aa9e-4b2e-8057-d4668d8403a2|Au fait, tu connais bien Amy ? Elle a l'air fort sympathique.
a9090f43-bd05-4e01-8806-134fa0db885f|Merci de m'avoir invité à cette soirée !
60edfaf4-35e2-4f64-b315-6b82479dd8b7|Dure semaine, hein ? Tout va bien ?
80a8be91-bc8d-400c-b958-eae02eba9e3f|J'ai appris ce qui est arrivé à ton frère...
f471cf09-6e02-4ee2-acae-037aa36dbb0f|C'est Frank qui a vendu cette merde à ton frère !
411330a7-e760-4f4e-9fc7-18de0925033f|Patrick va t'aider à botter le cul de Frank !
f3f40228-7dd0-41d5-a5c4-67b733f77cbf|Ah ! Par hasard, tu n'aurais pas un préservatif sur toi à me donner ?
38a1c0e4-aa4e-4806-a721-37ddc1277345|Ah, Derek. Est-ce que Frank est gay ?
39cc7b68-c107-4eaf-8005-1fdaa3fcdd3f|Est-ce que tu pourrais me donner ta chemise ? C'est pour quelque chose de vraiment important.
b4df4a07-3a60-4119-86e2-386938760b1a|Ah. Amy m'a dit qu'elle te cherchait...
ba7255bf-34b5-4654-bf20-ee14e58fe3d0|J'ai besoin d'une photo de quelqu'un portant quelque chose à l'effigie du drapeau américain.
33aa3791-8d88-4fe1-b2b3-2093cc25df51|Ah, Derek. Par hasard, tu ne porterais pas des sous-vêtements à l'effigie du drapeau américain ?
212fe830-06dc-42f4-a4ff-588579141465|Disons que j'ai mis la main sur les photos de nu de quelqu'un...
0d75d218-f63b-4f2b-9661-c570473c469a|Madison et toi ? Il y a eu quelque chose entre vous ?
4f9c28c2-3830-4d9a-be73-4c258c2fc365|Test
d46146ad-7720-49a6-99d5-94dd9d88c45f|Il faut que je prouve à Ashley à quel point je l'apprécie. Tu n'aurais pas une idée ?
601186f1-55f1-479d-a2a6-955705abce76|A plus, Derek.

[Quests]
b5a37b7f-1e3c-4277-9c5d-4179ee359c8d|Parler à Derek
b5a37b7f-1e3c-4277-9c5d-4179ee359c8dDescription|Derek est la seule personne que vous connaissez ici. Il vaudrait mieux que vous alliez le voir avant de passer pour un tape l'incruste.
64850a80-d809-4d4d-8bdb-6aeeb857c6c1|Enervons Derek !
64850a80-d809-4d4d-8bdb-6aeeb857c6c1Description|Derek est un gars costaud. Si vous arrivez à le remonter contre Frank, vous pourrez certainement vous débarrasser de lui...
34c0d68f-18f9-4701-a9ac-66e29c3c66d8|Sprint final ?
34c0d68f-18f9-4701-a9ac-66e29c3c66d8Description|Derek a besoins de votre support moral pendant qu'il tente de réparer sa relation avec Madison dans le jardin. Le problème, c'est que vous êtes attendu à l'étage ! Mettez vos chaussures de course parce que vous êtes sur le point de courir.

[Events]
9d61cb5c-d035-47fe-9146-161728735b21|Whoa, ça pourrait être ma chance ! Je me demande à qui je pourrais acheter de l'herbe...
35d0fa9e-0dc5-475f-8105-d6c72083d550|Ce n'est probablement pas une mauvaise idée. J'ai juste besoin de trouver un truc à boire. Malheureusement, j'ai déjà donné toutes les bouteilles que j'ai trouvées soit à Frank, soit à Stephanie... Et toutes celles qui restent sont dans le meuble à côté de Frank... Et merde.
324a6b64-aa9c-4554-a05d-b6136f729330|Hum. Que puis-je faire pour que Derek en veuille à mort à Frank ?
a01e7533-4726-4331-9a38-d9991112e031|Hum. Quelqu'un doit bien savoir ce qui est arrivé à Derek. Je devrais peut-être me renseigner...
4145ac72-e168-48bb-b35d-4e83618f2484|Je suis bien trop excité pour aider Derek. Il faut que je trouve une idée. Peut-être que je peux convaincre quelqu'un d'autre d'aider Derek ?
72b44ad6-499c-49c0-9604-ced881f7910b|Génial. Et comment vais-je m'y prendre pour faire comprendre à Frank que je ne suis pas gay ?
c6af151d-a1fb-4601-adab-8c8ad8c375f7|Dans quelle merde je me suis encore fourré ? Et comment vais-je m'en sortir ?
fc1c711d-b515-47a3-9315-edfca68b499f|Je sais qu'ils ont couché ensemble... Hum, je devrais peut-être demander à Ashley ce qu'elle en pense.
643af98e-36f9-4e5d-9c42-75053c255af6|Comment vais-je faire pour rester près de Derek et retrouver les autres dans le placard ? Il est temps de voir si je cours toujours aussi vite... Allez les poussins !
12c1a55a-fb58-4fe2-bcca-dda06678ddbd|Hum. Quelqu'un doit bien savoir ce qui est arrivé à Derek. Je devrais peut-être me renseigner...
7ed02c41-77c2-4331-987b-1b3086c40a63|Merde, ça ne s'est pas passé comme prévu... Bon, et maintenant ?
