[General]
Name|Ashley
20|D'accord. Et voilà. Au fait, merci d'avoir veiller sur moi. Tu t'en es très bien sorti ! Oh, et s'il te plaît, ferme la porte derrière toi !
21|Pourrais-tu fermer la porte pour commencer ?
22|Erf. Je ne me sens pas bien tout d'un coup.
23|Hum. Il y a trop de monde dans cette pièce pour que je me déshabille maintenant...
24|Euh... Ton machin... est de sorti.
24.1|Je pourrais imaginer faire quelques petites choses avec ça...
25|En fait, j'ai vraiment soif, et je ne peux pas aller me chercher un soda dans le réfrigérateur habillée comme ça. Pourrais-tu aller m'en chercher un ?
26|Oh, merci beaucoup ! Tu es le meilleur !
27|Oh mon Dieu. J'ai besoin d'aller aux toilettes rapidement !
28|Merde, qui a verrouillé la porte de la salle de bain ? Tu l'as fait exprès, n'est-ce pas ?
29|Pas croyable ! Celle-là aussi est verrouillée ! La dernière salle de bain est.. *glups* ..en bas. Ok, respire profondément, Ashley. Tu peux le faire...
30|Va te faire foutre, connard. Bien sûr que tu as la clé. Je me doutais bien que tu étais de mèche avec Madison ! J'ai vraiment besoin d'y aller. Je ferais n'importe quoi ! Je resterai toute nue pour le reste de la soirée s'il le faut. Mais, laisse-moi y aller.
31|Désolé, mais je ne pense pas que je t'apprécie suffisamment pour ça. Tu en as déjà trop vu. Je crois que je vais garder ma culotte sur moi, même si elle est complètement trempée.
32|Oh, merci beaucoup ! Tu viens pratiquement de me sauver la vie ! N'hésite pas à me demander tout ce que tu veux !
33|C'est quoi ce bordel ? Sérieusement ? J'ai vraiment besoin d'aller aux toilettes ! Est-ce que quelqu'un a la clé ?
34|Tu es vraiment le pire des enfoirés. J'espère au moins que tu apprécies le spectacle, connard.
35|Erf. Si c'est la seule façon pour que je puisse y aller, alors qu'il en soit ainsi, vu que je n'ai pas d'autre choix. Voici. Prends-la. De toute façon, je suppose que je ne récupèrerais pas mes vêtements quand je sortirai des toilettes ? J'ai le sentiment que je vais passer le reste de cette soirée toute nue...
36|C'est ton jour de chance aujourd'hui. Tu as de la chance que je t'apprécie autant !
37|Oh arrête. Haha. Tu es amusant.
38|Hé ! C'est quoi ce bordel ? Etes-vous en train de conspirer contre moi pendant que je suis ici ?
39|Hum. Eh bien, je suppose que je te dois bien ça. Tu as veillé sur moi toute la nuit, et Madison t'en veux à mort. Je suppose que tu mérites bien ça. En plus, je mentirais si je disais que ça ne me tente pas.
40|Hum. Et si nous allions quelque part de plus intime ? Je n'aime pas trop m'exhiber en public.
41|Et puis quoi encore ? Sérieusement, j'apprécie le fait que tu veuille m'aider, mais je ne vais pas te tailler une pipe pour ça. Je crois que nous devrions cesser de nous parler.
42|C'est quoi ce bordel ? Est-ce que tu viens juste de jouir sur moi, connard ? C'est quoi ton problème ? Ew ew ew !
42.1|T'en as foutu partout sur ma robe ! Elle venait juste d'être nettoyée ! T'es trop con, je t'aurais volontairement suivi n'importe où si tu me l'avais juste demandé !
43|Mrnph erm rumfrum errm mumphrum mer...
44|Tu me rends vraiment mes vêtements ? Eh bien, merci. Mais cela n'excuse pas ce que tu m'as fait. Tu es toujours un connard, mais j'apprécie que tu me laisses me rhabiller.
45|J'aimerais avoir le pied de quelqu'un d'autre pour te le coller au cul, parce que j'ai peur de ce que je peux y trouver !
46|Euh, non, désolé. Je ne l'ai pas.
46.1|Non, et ma réponse serait la même si je l'avais.
46.2|Tu sais quoi ? En fait, je l'avais. Je l'ai donné à Frank pour qu'il le garder en toute sécurité et je l'ai vu le ranger dans son caleçon, un peu comme une coquille de protection pour ses burnes. Puis il m'a dit : "Si quelqu'un a besoin de ce téléphone, surtout le petit nouveau, dit lui de venir me voir et de baisser mon froc. Comme ça, si quelqu'un baisse mon pantalon sans me demander ma permission, je saurais qu'elle est autorisée à utiliser le téléphone de Patrick" Maintenant, tu sais ce qu'il te reste à faire. Bonne chance.
47|Oh, c'est toi. Que veux-tu ?
48|Mais quelle idée stupide t'est passée par la tête ? C'était très embarrassant pour moi !
49|Le fait de jouer un tour aussi embarrassant à quelqu'un juste pour avoir le numéro d'une fille n'arrange pas ton cas. Tu es pitoyable. Et en plus, tu suis les idées stupides de ma soeur. Barre-toi de ma vue.
50|Eh bien, le fait de t'excuser est vraiment très mature de ta part. Je suppose que c'est un bon début. Mais ce n'est pas pour autant que je puisse te faire confiance.
50.1|Eh bien, le fait de t'excuser est vraiment très mature de ta part. Je suppose que c'est un bon début. Mais ce n'est pas pour autant que je puisse te faire confiance. Considère que la farce que nous voulons jouer est en attente pour l'instant. Je ne peux pas continuer l'exécution de mon plan avec quelqu'un qui pourrait se retourner contre moi à tout moment.
51|Oh. C'est pour moi ? Merci... mais tout le monde sait que je déteste la couleur rouge. Ca me rappelle la fois où Madison m'a teint les cheveux en rouge vif et m'a rasé les sourcils alors que je dormais.
51.1|Oh. C'est pour moi ? Merci... Mais j'imagine que tout le temps que nous avons passé ensemble ce soir n'était pas suffisant pour vraiment me connaître... Je déteste la couleur rouge. Et tout ce qui est de cette couleur. Ca me rappelle la fois où Madison m'a teint les cheveux en rouge vif et m'a rasé les sourcils alors que je dormais.
52|Oh, merci ! J'apprécie vraiment que tu essayes de te faire pardonner. Où diable as-tu pu trouver une fleur bleue comme celle-ci dans le coin ? C'est vraiment étrange.
52.1|Oh, une fleur bleue ! Comme c'est gentil de ta part. Je ne me souviens pas la dernière fois que quelqu'un m'a offert une fleur en cadeau. Je pense que ça devait être pour un bal de promos... Ouais, c'était un bracelet avec une magnifique fleur bleue. Madison l'avait même rempli de poil à gratter si je me souviens bien... Mais ce n'est plus qu'un mauvais souvenir. Merci pour le cadeau, mon chéri.
53|Non, mais préviens-moi quand tu en auras trouvé. Je veux vraiment décompresser.
54|Euh... C'est cool, mais que dois-je en faire ?
55|Cool ! Mais attends, tu as un briquet ?
56|Trop cool ! Merci beaucoup ! Je vais en profiter dans un coin un peu plus privé, si ça ne te dérange pas. Merci pour ce cadeau. Maintenant nous sommes quittes.
57|Waouh. Tu devrais peut-être y aller mollo sur l'alcool...
58|Oh ! Je ne savais pas que nous étions à ce genre de soirée... continuez !
59|Hum. Non seulement ton machin est de sorti, mais en plus... Je vais plutôt aller voir ailleurs...
59.1|Range ta bite, monsieur le clown de service. Tu devrais aller consulter... Y a des tâches qui ne devraient pas exister...
60|C'est bizarre. Ok, je vais aller voir ce qu'il peut bien me vouloir. Merci !
61|Hum, attends trente secondes que je réfléchisse... Ok, où dois-je signer ?
62|En fait, ça dépend. C'est pour quelle cause ?
62.1|Seulement si c'est une pétition pour que tu sois expulsé du pays à tout jamais. Barre toi de ma vue.
63|Hum. C'est déjà légal ici, idiot.
64|Je ne sais pas si tu essayes d'être drôle, coquin, ou mignon, mais quoi qu'il en soit, tu as échoué.
64.1|Bon, s'en est trop. Même si mes seins sont gigantesques et que je porte des sandales en bois flotté, ça ne m'empêchera pas de te casser la gueule si tu continues.
65|Je suis un peu occupée en ce moment. Repasse me voir plus tard.
66|Mon dieu, c'est un peu comme avoir les clés du royaume, si tu vois ce que je veux dire. On pourrait... jeter un coup d'oeil au contenu du téléphone de Madison... pour voir si elle cache quelque chose... d'intéressant.
67|Arf, dommage. Après l'avoir laissé dans la salle de bain aussi longtemps, la paranoïa de Madison va encore atteindre des sommets. Elle va certainement changer tous ses mots de passes demain à la première heure. Essaye de lui emprunter, je te promets que ça en vaut la peine.
68|C'est instinctif. J'ai recablé mon cerveau afin d'être constamment à l'affût d'une manière de me venger de Madison. Si notre mère voyait la façon dont nous nous traitons l'une l’autre, elle nous aurait déjà traîné sur le trottoir devant la maison pour nous forcer à nous tenir la main jusqu'à ce que dix voitures rouges soient passées.
69|La suite ? Tu me donnes son téléphone pour que je... Merde !
69.1|Ah, te voilà. Juste au moment où je pensais que tu avais laissé tomber notre farce. Alors, est-ce que tu as dû la supplier à genoux pour le récupérer ? Ou est-ce que Madison est tellement tête en l'air qu'elle vient de le redonner... Merde, Patrick vient vers nous ! Elle n'a quand même pas envoyé notre cousin pour récupérer son téléphone quand même ?
70|Patrick, ce n'est vraiment pas le moment. Nous étions en pleine conversation. Je vais venir te voir dès que je suis disponible et on pourra... bavarder.
71|Bon, d'accord. Je te suis, Patrick. Désolé, je dois lui consacrer un peu de temps... Ce qui devrait te laisser suffisamment de temps pour fouiller le téléphone de Madison. Récupère aussi son journal intime, ce n’est pas comme si j'avais des poches sur cette robe... Par contre, rends-moi un énorme service : viens me chercher près du feu de camps dans quelques minutes et fait comme si c'était une urgence. Ou sinon, trouve un moyen de me débarrasser de Patrick.
72|Retrouvons-nous là-haut dès que Madison et Derek s’envoi en l’air !
72.1|Quelque chose me dit que tu as raté une étape essentielle de ce plan. Je n'entends pas de bruits de pas monter les escaliers... Va chercher Derek et Madison, imbécile !
72.2|Fais-toi petit et tait-toi !
73|Ha ha ha, ouais. Que de bons souvenirs. Oh, salut. Je ne m’attendais pas à te revoir de sitôt. Tout va bien ?
74|Wow, c'est une urgence que je dois résoudre. Patrick, je suis désolée de ne pas avoir plus de temps à te consacrer, mais il faut que j'y aille. Il faut que j'aille résoudre ce problème immédiatement.
75|Ah, la famille... quelle plaie. Merci de m'avoir sorti de là. Bon, sinon qu'as-tu trouvé sur le téléphone de Madison ?
75.1|Attends, laisse-moi reformuler : pendant les quelques minutes où je discutais avec Patrick, tu en as profité pour faire chanter Madison avec ce que tu as trouvé sur son téléphone ? Ce n’est vraiment pas cool. Je ne veux plus jamais te revoir.
76|Rien ? Je connais trop bien ma soeur pour savoir qu'il y a quelque chose de croustillant de planquer dans son téléphone. Tu ferais mieux de revérifier et préviens-moi dès que tu as quelque chose.
77|Je le savais ! Je n'en attendais pas moins de la part de Madison ! Laisse-moi voir...
78|Wow. Ces images sont parfaites pour me venger de Madison, mais je dois frapper avec une précision chirurgicale. Je ne veux pas juste les poster sur le web... Madison est quand même ma soeur et honnêtement, elle pourrait me mettre à la rue pour ça. Si seulement je pouvais utiliser ces photos d'une autre manière...
79|En fait, je n'ai pas réfléchi plus que ça à ce plan... Je ne pensais pas qu'on y arriverait... Mais maintenant qu'on y est, autant continuer, non ? Demande autour de toi, peut-être que quelqu’un aura une bonne idée de la manière d'utiliser ces photos. Je vais faire de même. Mais SURTOUT ne dis pas qu'il s'agit de photos de Madison. Ca pourrait se retourner contre nous, et de façon rapide.
80|Non, non, pas du tout, mademoiselle Vixen. Désolé, je suis Ashley, vous ne me connaissez pas. D'après ce que j'ai entendu de votre conversation, je pense que je dois clarifier les propos de mon ami. Ce qu'il voulait dire, c'est qu'il a en sa possession des photos de nu d'une très belle femme dans diverses positions, et que vous pourriez, comment dire... trouver comment utiliser ces photos à bon escient.
81|Oui, c'est une excellente idée. Nous aimerions savoir si cette personne serait en mesure de faire carrière... dans le monde des films pour adultes.
82|Parlez moins fort ! Si nous vous montrons ses photos, c’est parce qu'elle est trop timide pour le faire elle-même.
83|Nous comprenons et nous voyons ce dont vous voulez parler. Donc, si nous arrivons à mettre en place une sorte d'audition et que vous voyez Madison à l'oeuvre, alors vous pourriez peut-être la recommander à votre... maquereau ?
84|Oui, ça serait parfait. Nous allons nous occuper de tout mettre en place et nous vous préviendrons quand tout sera prêt. Par contre, mademoiselle Vixen, pouvez-vous me rendre un service et garder tout cela secret s'il vous plait ?
85|Comment ça "notre" farce ? Je ne crois pas. Au mieux, tu n'es que mon apprenti.
86|Sérieusement ? Je ne les aurais jamais imaginés ensemble ces deux-là... Madison ne me parle jamais de ses petits copains. Comment le sais-tu ?
87|Merde alors ! Ca serait parfait. Nous n'avons plus qu'à les faire monter tous deux à l'étage pour faire des cochonneries, tout en s'assurant que Vickie les voit à l'oeuvre. Wow, je devrais peut-être me lancer dans les farces de manière professionnelle... Bref, je me charge de Vickie et tu t'occupes de faire grimper les deux tourtereaux à l'étage.
88|Supposons que tu sois Madison. Est-ce que tu me ferais confiance, si moi, ta soeur rancunière, essayait de te brancher avec un gars super mignon ? Ne serais-je pas en train de te jouer une farce ?
89|Vickie et moi allons attendre ton signal. Puis nous courrons à l'étage et nous cacherons dans le placard dans la chambre de Madison. Essaye d'y aller aussi avant que Madison et Derek ne rentre dans la chambre. Il faut absolument que tu profites de ce grand moment.
90|Hum... Ballade-toi torse nu. Montre-moi un avant-goût de ce que je pourrais avoir si tout se passe comme prévu.
91|Arf, tant pis. Que veux-tu faire comme signal ?
92|Bon, à bientôt. Je crois en toi cupidon. C'est parti !
92.1|Comme un oiseau ? Sérieusement, comme un oiseau ? Comme tu veux. Bon, à bientôt. Je crois en toi cupidon. C'est parti !
93|Oh mon dieu, oh mon dieu, oh mon dieu ! Vickie, dépêche-toi de prendre des photos. Je ne sais pas si Derek va pouvoir endurer ça encore longtemps.
93.1|Mrphpmh. Vickie, dépêche-toi d'envoyer ce film. Je ne sais pas si Derek va pouvoir endurer ça encore longtemps.
94|Coucou soeurette, je ne savais pas que tu avais autant de talent ! Derek, toi aussi, bel étalon, beau travail.
95|Ben oui, Madison ! Puisque tu es tellement culottée, je pensais que tu voulais montrer tes talents devant tout le monde, tu vois. Et c'est parfaitement ce que tu as fait : Vickie a filmé votre petite escarmouche. Elle a tellement adoré tes compétences qu'elle a même envoyé ton film à son agent. Tu te rappelles bien de sa profession ? Actrice porno.
96|Bien joué. Viens avec moi, il est temps pour mon apprenti d'apprendre une dernière leçon de sa très, très impressionnée maîtresse.
97|Farce accomplie ! Mon dieu, as-tu vu la tronche que faisait Madison ? Il ne te reste plus qu'un dernier test à passer en tant qu'apprenti. Approche-toi et enlève les sandales de ta maitresse qui lui ont ruiné les pieds toutes cette soirée. Allez, dépêche-toi.
97.1|Farce accomplie ! Mon dieu, as-tu vu la tronche que faisait Madison ? Il ne te reste plus qu'un dernier test à passer en tant qu'apprenti. Approche-toi et enlève les sandales de ta maitresse qui lui ont ruiné les pieds toutes cette soirée. Allez, dépêche-toi. Oh, et assure-toi que la porte est bien verrouillée.
98|Wow, c'est tombé tout seul... J'ai bien un autre vêtement qui tombe aussi tout seul... Oups, est-ce que tu pourrais y jeter un oeil ? Hum... Que devrais-je faire d'après toi ?
98.1|Wow, c'est tombé tout seul... J'ai bien un autre vêtement qui tombe aussi tout seul, et je pense que tu sais très bien du quel il s'agit... Oups, est-ce que tu pourrais y jeter un oeil ? Hum... Que devrais-je faire d'après toi ?
99|Dégrafe mon haut pour moi. Cette agrafe ne tient que par un fil. J'ai cru qu'elle aurait lâché à un moment ou un autre ce soir. Heureusement, tu seras le seul à voir le résultat.
100|Oh mon dieu... Quand Madison et moi étions jeunes et que nous nous chamaillions, notre mère nous forçait à nous tenir par la main devant la maison jusqu'à ce que 10 voitures rouges soient passées devant la maison. Et à l'époque, nous habitions dans un tout petit village paumé dans la campagne, ça prenait des heures...
101|J’ai une idée : Il faut juste que Vickie filme Madison en train de faire des cochonneries avec quelqu'un. Ensuite, Vickie n'aura plus qu'à envoyer ce fil à son agent ! Il ne reste plus qu'à trouver un partenaire pour Madison...
102|Vickie... Oh, Vickie, Vickie Vixen... Je me suis toujours demandé pourquoi elle n'a pas mis trois X dans son nom... C'est une bonne idée. Parle-lui et voit ce qu'elle peut en faire.
103|Cette salope hautaine ? Je ne pense pas que ce soit une bonne idée... Elle est impitoyable... Je ne cherche pas à ruiner complètement la réputation de ma soeur... Quoi que... En y réfléchissant un peu... Non. Trouve quelqu'un d'autre.
104|Je t'arrête tout de suite. Je ne veux pas en entendre plus. Au dernier repas de famille, il nous a dit qu'il gérait un site de partage de vidéos en ligne ou quelque chose comme ça. Et c'est tout ce que je veux savoir au sujet de ses affaires. De plus, c'est notre cousin... Je sais que nous sommes nées dans un petit village, mais ce n'est pas une raison.
105|Hum... Il n'y a pas beaucoup de candidats ce soir et comme Patrick est notre cousin, ça l'exclu directement. Il ne reste plus que Frank et Derek... 
106|Ah non, pas toi. J'espérais qu'après cela... Laisse tomber. Tu ne peux pas être candidat, tu fais partie du plan. Il n'y a que deux candidats : Frank et Derek. Débrouille-toi pour que l'un des deux fasse l'affaire.
107|Chut ! Ne ruine pas tout avant même que ça ait commencé. Vickie, sort ton téléphone et prépare-toi à filmer. Et toi, ouvre un PEU les portes dès que tu penses qu'ils sont trop occupés pour le voir. Tu as le droit qu'à un seul essai !
108|Oh putain, qu'est-ce que tu fous ? Ce n'est pas le moment ni l'endroit d'avoir la gaule !
109|Espèce d'enfoiré. Pourquoi maintenant ? De tous les temps, pourquoi maintenant ?
110|Pour le bien de cet enregistrement... Rapproche-toi et laisse-moi m'occuper de ton cas.
111|Hum, ne le prends pas mal, mais je n'ai pas envie de recevoir ça de ta part. Mais alors, pas du tout.
111.1|Casse-toi. Il n'y a rien de ce que tu peux me donner qui te fera pardonner de t'être comporter comme un con. Enfin, presque rien, mais certainement pas ça.
111.2|Tu ne comprends vraiment pas ce qui pourrait faire un bon cadeau, parce que ça, c'est juste de la camelote. Même si ça vient de ta part, c'est juste de l'adorable camelote... Mais je n'en veux pas pour autant.
112|Tu as vu ce que Frank a fait ? Je sais que mon cousin est un imbécile doublé d'un pervers mais Patrick est gentil. C'est juste l'alcool qui parle. Frank ne devrait pas avoir le droit de tabasser impunément les gens comme ça pendant une soirée.
113|Eh bien, je doute que Madison le reconnaisse, mais je vis également ici... Donc d'un certain point de vue, oui.
114|C'est gentil de ta part. Je suis ici si tu as la moindre question au sujet de nos invités, y compris moi-même. En tant que co-hôtesse de cette soirée, je serais super déçue si tu ne sens pas le bienvenu.
115|Allez, dépêche-toi de la sortir ! Si mes genoux deviennent rouges, les gens vont se poser des questions.
115.1|Magne-toi le cul !
116|Tu as réussi à venir ! Entre vite et fermer les portes derrière toi... Allez, On se dépêche !
117|Oh, désolé, Madison et, euh... Derek. Mes amis et moi-même étions tout simplement à la recherche d'une boucle d'oreille que j'aurais perdue par ici. Nous allons vous laisser la place... Encore désolé !
118|Oh, tiens, c'est le trou du cul qui a ses doigts qui glisse... Bonsoir, trou du cul.
119|Wow ! Quelqu'un est fier de ses pectoraux. Et je vois très bien pourquoi.
119.1|Est-ce toujours la façon dont tu te présentes ? Tu te la joue Casanova des temps modernes, n'est-ce pas ?
119.2|Me montrer tes pectoraux ne va pas te faire remonter dans mon estime. Tu restes toujours un con de toute façon. Casse-toi.
119.3|Hum, c'est le signal ? Je vais supposer que non, et que tu t'entraines juste à faire le signal...
120|Regarde devant toi et surtout, reste en dehors de la prise de vue.
121|Hum, je pensais que ça se passerait différemment... Euh, on remet ça à une autre fois, je suppose. Tiens-moi au jus.
122|Tu as vu ce qui est arrivé à Patrick ? Je sais que mon cousin est un imbécile doublé d'un pervers mais Patrick est gentil. C'est juste l'alcool qui parle.
122.1|Tu as vu ce que Madison a fait ? Je sais que mon cousin est un imbécile doublé d'un pervers mais Patrick est gentil. C'est juste l'alcool qui parle. Madison ne devrait pas avoir le droit de tabasser impunément les gens comme ça pendant une soirée.
122.2|Tu as vu ce que Frank a fait ? Je sais que mon cousin est un imbécile doublé d'un pervers mais Patrick est gentil. C'est juste l'alcool qui parle. Frank ne devrait pas avoir le droit de tabasser impunément les gens comme ça pendant une soirée.
123|Oh, je pense que tu as entièrement raison à ce sujet. Commence par ta chemise, puis, sans doute, ton pantalon, non ? Bref, je pense que c'est une bonne idée.
123.1|Oh, je pense que tu as entièrement raison à ce sujet. J'ai même l'impression que tu as déjà commencé à te dévêtir tout seul. Continue comme ça, c'est une bonne idée.
124|S'il te plait, rends-moi mes vêtements ! C'est trop humiliant !
124.1|Pas maintenant, je ne peux pas parler.
124.2|Je ne sais pas si c'est de ta faute ou celle de Madison, mais je vais te trucider.
125|Dis-moi ce que tu aimes, bébé.
126|En piste. Je te promets que je vais te chevaucher plus de 9 secondes.
126.1|Je pourrais faire une blague salace, mais je ne pense pas que notre public apprécie.
126.2|Rien de mal avec les traditions, non ?
126.3|Je dirais en 69.
127|Ne me dis pas que tu es en train d'envoyer des textos pendant que nous faisons l'amour...
128|Ecoutons-le, mais surtout ne t'arrête pas ! Je pense savoir qui a essayé de la joindre !
129|Je n'arrive pas à croire que je vais écouter la voix de ce cochon pendant que tu me baise.
130|Wow. Ouais, wow. Quel délicieux moment. Mon dieu, quelle soirée, non ?!!! Je vais retourner en bas et me délecter de ma victoire... Je vais être de bonne humeur toute la nuit. Préviens-moi si tu es chaud pour... un autre tour d'honneur.
130.1|Wow. Ouais, wow. Quel délicieux moment. Mon dieu, quelle soirée, non ?!!! Je suis vraiment ravie que tu sois venu. Tu t'es avéré être juste ce dont j'avais besoin. Préviens-moi si tu es chaud pour... un autre tour de ma chambre.
130.2|Wow, quelle endurance ! Ca ne va pas être facile de devoir choisir les meilleurs moments de cette soirée... Bon, on se retrouve en bas.
131|Effectivement... Tu pourrais même peut-être m'aider avec ça... à l'étage.
131.1|Oh, bien sûr ! Je veux dire, il y a certainement plus à voir, beaucoup plus.
131.2|Ouf, tu vas devoir attendre quelques minutes de plus pour que je puisse reprendre mon souffle. Super accroche, mais il te faudra l'utiliser de nouveau un peu plus tard.
132|Tu as totalement raison. Il faut que je garde l'objectif en vue : humilier Madison de la pire des façons
133|Bah merde, regardez-moi ça ! Comment as-tu obtenu ça avec Frank qui rôde autour ? Peu importe, j'accepte avec joie ce cadeau. Encore quelques-unes et je ne penserais même plus à la garce qui me sert de soeur pour le reste de la nuit. Ca, ce serait pas mal.
133.1|Laisse-moi faire un petit calcul rapide. Une boisson gratuite déduite du montant total de ton comportement de trou du cul de ce soir... Hum... Tu es toujours un trou du cul. Je vais quand même boire ça, mais ça ne te fera pas pardonner pour autant.
134|Tu n'arrêtes pas de me faire des cadeaux ! Je suis impressionné, surtout que Frank aurait déjà dû mettre la holà à ton petit manège, surtout si les boissons disparaissent de sa vue... Comment fais-tu pour en récupérer ?
134.1|A l'école, le prof nous a parlé d'une sorte de Dieu, ou de géant, je ne me souviens plus. Bref, ce type faisait rouler un rocher jusqu'en haut d'une colline et arrivé en haut, ce rocher roulait jusqu'en bas. Donc ce type devait retourner en bas et faire rouler ce rocher jusqu'en haut, et rebelote, sans arrêt.
135|Attends, tu ne serais pas le fils caché de Columbo ? Ca fait 9 mois que j'ai emménagé ici et je ne sais toujours pas où Madison a caché la clé de toutes les salles de bains. Tu te points à la soirée de ma garce de soeur, et tu trouves facilement de l'alcool sans avoir jamais mis les pieds ici auparavant ! Tu es génial, vraiment génial. Maintenant, si seulement tu pouvais faire apparaître de la beuh...
135.1|Trouver des bières, c'est le seul truc pour lequel tu es doué. Me rendre ivre lors de la soirée de ma salope de soeur, ce n'est pas un problème pour toi, n'est-ce pas ? Mais pour ce qui est d'être un gentleman quand ça compte vraiment ? Faut pas déconner, tu préfères exhiber mes seins à la vue de tous... Et si tu me trouvais de la beuh pour me prouver à quel point tu es un mauvais garçon ?
135.2|Attends, tu ne serais pas le fils caché de Columbo ? Ca fait 9 mois que j'ai emménagé ici et je ne sais toujours pas où Madison a caché la clé de toutes les salles de bains. Tu te points à la soirée de ma garce de soeur, et tu trouves facilement de l'alcool sans avoir jamais mis les pieds ici auparavant ! Tu es génial, vraiment génial. Maintenant, si seulement tu pouvais faire apparaître de la beuh...
136|Eh bien, ton secret est en sécurité avec moi, aussi longtemps que je sois raide bourrée, ce qui ne devrait plus tarder. Mon dieu, si ça arrive, Madison va avoir un réel problème à gérer : Moi.
136.1|Ce type mythologique, c'est toi... en ce moment... car tu essayes de me séduire à grand coup de boissons gratuites. Certaines collines ne sont pas franchissables. Je vais quand même accepter ton cadeau : ça m'aidera à t'oublier ainsi que Madison. C'est tout ce qui m'importe maintenant.
